,learning_rate,gamma,max_depth,max_delta_step,accuracy
87,0.3,0.5,6.0,6.0,0.7122302158273381
88,0.3,0.5,10.0,0.0,0.6924460431654677
89,0.3,0.5,10.0,2.0,0.7158273381294964
90,0.3,0.5,10.0,4.0,0.7140287769784173
91,0.3,0.5,10.0,6.0,0.7014388489208633
92,0.3,0.5,20.0,0.0,0.685251798561151
93,0.3,0.5,20.0,2.0,0.7068345323741008
94,0.3,0.5,20.0,4.0,0.7050359712230215
95,0.3,0.5,20.0,6.0,0.7050359712230215
96,0.3,1.0,4.0,0.0,0.6870503597122302
97,0.3,1.0,4.0,2.0,0.7086330935251799
98,0.3,1.0,4.0,4.0,0.7122302158273381
99,0.3,1.0,4.0,6.0,0.7032374100719424
100,0.3,1.0,6.0,0.0,0.6906474820143885
101,0.3,1.0,6.0,2.0,0.6996402877697842
102,0.3,1.0,6.0,4.0,0.710431654676259
103,0.3,1.0,6.0,6.0,0.697841726618705
104,0.3,1.0,10.0,0.0,0.6546762589928058
105,0.3,1.0,10.0,2.0,0.7032374100719424
106,0.3,1.0,10.0,4.0,0.7032374100719424
107,0.3,1.0,10.0,6.0,0.7050359712230215
108,0.3,1.0,20.0,0.0,0.6762589928057554
109,0.3,1.0,20.0,2.0,0.7176258992805755
110,0.3,1.0,20.0,4.0,0.7014388489208633
111,0.3,1.0,20.0,6.0,0.7050359712230215
112,0.3,5.0,4.0,0.0,0.6169064748201439
113,0.3,5.0,4.0,2.0,0.685251798561151
114,0.3,5.0,4.0,4.0,0.658273381294964
115,0.3,5.0,4.0,6.0,0.6528776978417267
116,0.3,5.0,6.0,0.0,0.6276978417266187
117,0.3,5.0,6.0,2.0,0.6798561151079137
118,0.3,5.0,6.0,4.0,0.6600719424460432
119,0.3,5.0,6.0,6.0,0.6510791366906474
120,0.3,5.0,10.0,0.0,0.6402877697841727
121,0.3,5.0,10.0,2.0,0.6636690647482014
122,0.3,5.0,10.0,4.0,0.6672661870503597
123,0.3,5.0,10.0,6.0,0.6492805755395683
124,0.3,5.0,20.0,0.0,0.6384892086330936
125,0.3,5.0,20.0,2.0,0.6690647482014388
126,0.3,5.0,20.0,4.0,0.6672661870503597
127,0.3,5.0,20.0,6.0,0.658273381294964
128,0.5,0.0,4.0,0.0,0.697841726618705
129,0.5,0.0,4.0,2.0,0.7410071942446043
130,0.5,0.0,4.0,4.0,0.7230215827338129
131,0.5,0.0,4.0,6.0,0.7302158273381295
132,0.5,0.0,6.0,0.0,0.685251798561151
133,0.5,0.0,6.0,2.0,0.7212230215827338
